ISO2,ISO3,COUNTRY,REGION,LDC,LLDC,SIDS,YEAR,POP,POP_RANK,POP_PERCENTILE,PIP,PIP_RANK,PIP_PERCENTILE,IP,IP_1,IP_2,IP_3,IP_4,IP_5,IP_6,PEP,PEP_RANK,PEP_PERCENTILE,EP,EP_1,EP_2,EP_3,EP_4,POP_R,POP_R_RANK,POP_R_PERCENTILE,PARTY_CODE,PARTY_NAME
PA,PAN,Panama,Central America,0,0,0,2001,11.59193749537327,9.0,0.6,15.078547222222223,8.0,0.6666666666666666,42.76388888888889,35.333333333333336,49.15,29.200000000000003,48.3,44.6,50.0,8.105327768524313,12.0,0.45,22.98731641668835,41.23748741865752,16.97070844686648,7.233333333333334,26.507736467896063,0.3526,9.0,0.6363636363636364,PPA,Panamenista Party / Authentic Panameñista Party
PY,PRY,Paraguay,South America,0,1,0,2001,22.696657298626413,4.0,0.85,31.116575000000008,4.0,0.8571428571428571,64.2638888888889,45.333333333333336,85.75,30.40000000000001,91.5,62.6,70.0,14.276739597252815,4.0,0.85,29.485211890237125,53.27345915104775,11.443025075313956,25.96666666666667,27.257696667920136,0.4842,7.0,0.7272727272727273,ANR-PC,National Republican Association - Colorado Party
PE,PER,Peru,South America,0,0,0,2001,,,,,,,29.83888888888889,26.433333333333337,34.5,26.3,15.0,26.8,50.0,,,,22.097186143835163,38.796533627861066,9.877356888854171,16.333333333333332,23.38152072529208,,,,AP,Popular Action
SR,SUR,Suriname,South America,0,0,1,2001,,,,,,,29.15833333333333,15.9,55.25,13.299999999999995,20.5,20.0,50.0,,,,,38.15814490850635,,,,,,,,
TT,TTO,Trinidad y Tobago,Caribbean,0,0,1,2001,13.06849903303419,8.0,0.65,12.210213888888893,9.0,0.6190476190476191,23.436111111111117,16.36666666666667,35.55,19.5,21.1,18.1,30.0,13.926784177179488,5.0,0.8,26.730871741227425,35.941160371867305,29.43525488754985,15.866666666666664,25.680405038825874,0.521,5.0,0.8181818181818182,UNC,United National Congress
UY,URY,Uruguay,South America,0,0,0,2001,3.0071453018811285,19.0,0.1,2.0131222222222216,21.0,0.0476190476190476,14.077777777777776,6.566666666666663,30.4,7.599999999999994,4.8,5.1,30.0,4.001168381540036,18.0,0.15,27.980198472307944,33.389616467243194,39.41028610354224,17.7,21.420891318446337,0.143,19.0,0.1818181818181818,PC,Colorado Party
VE,VEN,Venezuela,South America,0,0,0,2001,56.84690094387292,1.0,1.0,74.9006611111111,1.0,1.0,75.35277777777777,71.86666666666666,79.65,68.1,85.3,77.2,70.0,38.79314077663473,1.0,1.0,39.02730460426029,58.99182091660349,33.59734318874486,31.366666666666664,32.153387645026186,0.994,1.0,1.0,MVR,Fifth Republic Movement
AR,ARG,Argentina,South America,0,0,0,2002,18.65651595676351,6.0,0.7619047619047619,20.14335,8.0,0.6818181818181818,34.7,29.1,46.9,23.0,28.8,30.4,50.0,17.169681913527022,3.0,0.9047619047619048,29.577402090485823,43.8628289122015,22.599893641805863,11.9,39.946885807935935,0.5805,5.0,0.8260869565217391,PJ,Justicialist [Peronist] Party
BB,BRB,Barbados,Caribbean,0,0,1,2002,7.080798883965967,14.0,0.3809523809523809,4.827575,18.0,0.2272727272727272,15.725,13.799999999999995,21.35,23.700000000000003,12.7,12.8,10.0,9.334022767931934,10.0,0.5714285714285714,30.40398295743301,22.31191099198118,15.5625,47.9,35.84152083775088,0.307,14.0,0.4347826086956521,BLP,Barbados Labour Party
BO,BOL,Bolivia,South America,0,1,0,2002,1.9890794825979925,21.0,0.0476190476190476,2.5599333333333334,20.0,0.1363636363636363,54.46666666666667,43.6,68.1,31.10000000000001,63.2,50.8,70.0,1.4182256318626514,21.0,0.0476190476190476,30.1750134438862,58.4354648760003,21.379783726203065,16.03333333333333,24.8514718400081,0.047,23.0,0.0434782608695652,ADN,Nationalist Democratic Action
BR,BRA,Brazil,South America,0,0,0,2002,8.188560847011757,12.0,0.4761904761904761,8.215200000000001,12.0,0.5,36.675,18.600000000000005,56.95,16.60000000000001,52.900000000000006,25.0,50.0,8.161921694023512,14.0,0.3809523809523809,36.43715041974782,50.22499218343825,21.36335149863761,40.23333333333333,33.926924663582106,0.224,17.0,0.3043478260869565,PSDB,Brazilian Social Democracy Party
CL,CHL,Chile,South America,0,0,0,2002,4.654021131289817,18.0,0.1904761904761904,2.2150111111111115,21.0,0.0909090909090909,7.122222222222224,4.933333333333337,14.5,5.700000000000003,3.0,4.6,10.0,7.093031151468524,15.0,0.3333333333333333,22.80717412047757,30.326094955892277,26.36475962476689,15.766666666666666,18.77117523458445,0.311,13.0,0.4782608695652174,PPD,Party for Democracy
CO,COL,Colombia,South America,0,0,0,2002,10.216555865964082,11.0,0.5238095238095238,11.268366666666669,10.0,0.5909090909090909,38.32777777777778,21.36666666666667,53.3,18.30000000000001,38.6,28.4,70.0,9.1647450652615,11.0,0.5238095238095238,31.17260226279421,42.419106190943495,14.303954520139072,35.166666666666664,32.80068167342761,0.294,15.0,0.391304347826087,PCC,Colombian Conservative Party
CR,CRI,Costa Rica,Central America,0,0,0,2002,10.341220915939903,10.0,0.5714285714285714,8.427361111111113,11.0,0.5454545454545454,17.93055555555556,4.533333333333341,29.05,5.1000000000000085,12.1,6.800000000000001,50.0,12.255080720768692,7.0,0.7142857142857143,26.07463983142275,34.8522119180679,21.85177111716621,25.266666666666666,22.32790962379022,0.47,8.0,0.6956521739130435,PUSC,Social Christian Unity Party
NA,CUB,Cuba,Caribbean,0,0,1,2002,,,,,,,,89.23333333333335,,92.1,60.5,84.89999999999999,,,,,,,,,,0.7936000000000001,3.0,0.9130434782608696,PCC,Communist Party of Cuba
DO,DOM,Dominican Republic,Caribbean,0,0,1,2002,18.81378462385576,5.0,0.8095238095238095,26.08763888888889,5.0,0.8181818181818182,74.53611111111111,69.26666666666667,73.35,85.0,76.7,72.89999999999999,70.0,11.539930358822629,8.0,0.6666666666666666,32.971229596636086,44.26173392009438,10.176192098092647,42.3,35.14699236835731,0.35,11.0,0.5652173913043478,PRD,Dominican Revolutionary Party
EC,ECU,Ecuador,South America,0,0,0,2002,,,,,,,55.56111111111111,52.56666666666666,64.5,31.5,55.00000000000001,59.8,70.0,,,,37.98085954235187,54.71081203861163,18.033446866485026,45.53333333333333,33.64584593097752,,,,,
SV,SLV,El Salvador,Central America,0,0,0,2002,3.128752936598563,20.0,0.0952380952380952,4.801780555555556,19.0,0.1818181818181818,57.85277777777778,53.06666666666666,64.15,52.1,69.3,58.5,50.0,1.45572531764157,20.0,0.0952380952380952,17.538859248693612,33.35990510283991,4.825000000000003,14.566666666666668,17.40386522526787,0.083,22.0,0.0869565217391304,ARENA,Nationalist Republican Alliance
GT,GTM,Guatemala,Central America,0,0,0,2002,24.29271640685801,4.0,0.8571428571428571,33.68873194444444,3.0,0.9090909090909092,57.172222222222224,44.83333333333334,71.7,25.90000000000001,75.4,55.2,70.0,14.896700869271577,5.0,0.8095238095238095,25.280782128589863,51.161595008911945,8.792495067452421,18.433333333333334,22.735705104661758,0.5892499999999999,4.0,0.8695652173913043,FRG,Guatemalan Republican Front
GY,GUY,Guyana,South America,0,0,1,2002,,,,6.317851666666667,17.0,0.2727272727272727,59.94166666666667,50.0,70.35,64.5,70.7,54.1,50.0,,,,,40.19556858158989,,40.3,29.84358435091473,0.1054,20.0,0.1739130434782608,PPP,People's Progressive Party
HT,HTI,Haiti,Haiti,1,0,1,2002,47.11033403996687,2.0,0.9523809523809524,66.09124,2.0,0.9545454545454546,70.55,57.2,85.1,36.0,80.2,74.8,90.0,28.129428079933756,2.0,0.9523809523809524,30.0271435524485,43.35604224005768,11.328031335149872,34.03333333333333,31.391167301253127,0.9368,2.0,0.9565217391304348,FL,Lavalas Family
HN,HND,Honduras,Central America,0,0,0,2002,5.158873376286705,17.0,0.238095238095238,7.2610416666666655,13.0,0.4545454545454545,69.15277777777777,59.66666666666666,81.45,77.0,80.9,65.9,50.0,3.056705085906744,19.0,0.1428571428571428,29.111477008635656,48.23593890327376,13.243392370572202,27.133333333333336,27.83324342736333,0.105,21.0,0.1304347826086956,PNH,National Party of Honduras
JM,JAM,Jamaica,Caribbean,0,0,1,2002,7.06125962312853,15.0,0.3333333333333333,7.203722222222223,14.0,0.4090909090909091,28.361111111111114,16.866666666666664,40.1,26.5,18.2,18.5,50.0,6.918797024034838,16.0,0.2857142857142857,27.23935836234188,38.02973031134811,12.199999999999996,30.866666666666664,27.861036471352755,0.254,16.0,0.3478260869565217,PNP,People's National Party
MX,MEX,Mexico,Central America,0,0,0,2002,5.797347543090926,16.0,0.2857142857142857,6.357791666666667,16.0,0.3181818181818182,39.98611111111112,32.666666666666664,52.05,33.2,37.1,34.9,50.0,5.236903419515185,17.0,0.238095238095238,32.936499493806195,50.24229844499289,24.364812380019,35.6,21.5388871502129,0.159,18.0,0.2608695652173913,PAN,National Action Party
NI,NIC,Nicaragua,Central America,0,0,0,2002,15.408425134192264,8.0,0.6666666666666666,21.472725,6.0,0.7727272727272727,58.19166666666666,58.2,64.55,28.40000000000001,60.1,67.9,70.0,9.34412526838453,9.0,0.6190476190476191,25.32283270564913,43.66552855893193,8.362499999999997,20.5,28.763302263664592,0.369,10.0,0.6086956521739131,PLC,Constitutionalist Liberal Party
