ISO3,YEAR,PARTY_GOV,PARTY_CODE,PARTY_NAME
GUY,2003,4246,PPP,People's Progressive Party
GUY,2004,4246,PPP,People's Progressive Party
GUY,2005,4246,PPP,People's Progressive Party
GUY,2006,4246,PPP,People's Progressive Party
GUY,2007,4246,PPP,People's Progressive Party
GUY,2008,4246,PPP,People's Progressive Party
GUY,2009,4246,PPP,People's Progressive Party
GUY,2010,4246,PPP,People's Progressive Party
GUY,2011,4246,PPP,People's Progressive Party
GUY,2012,4246,PPP,People's Progressive Party
GUY,2013,4246,PPP,People's Progressive Party
GUY,2014,4246,PPP,People's Progressive Party
GUY,2015,4247,PNC,People's National Congress – Reform
GUY,2016,4247,PNC,People's National Congress – Reform
GUY,2017,4247,PNC,People's National Congress – Reform
GUY,2018,4247,PNC,People's National Congress – Reform
GUY,2019,4247,PNC,People's National Congress – Reform
HND,1990,1416,PNH,National Party of Honduras
HND,1991,1416,PNH,National Party of Honduras
HND,1992,1416,PNH,National Party of Honduras
HND,1993,1416,PNH,National Party of Honduras
HND,1994,593,PLH,Liberal Party of Honduras
HND,1995,593,PLH,Liberal Party of Honduras
HND,1996,593,PLH,Liberal Party of Honduras
HND,1997,593,PLH,Liberal Party of Honduras
HND,1998,593,PLH,Liberal Party of Honduras
HND,1999,593,PLH,Liberal Party of Honduras
HND,2000,593,PLH,Liberal Party of Honduras
HND,2001,593,PLH,Liberal Party of Honduras
HND,2002,1416,PNH,National Party of Honduras
HND,2003,1416,PNH,National Party of Honduras
HND,2004,1416,PNH,National Party of Honduras
HND,2005,1416,PNH,National Party of Honduras
HND,2006,593,PLH,Liberal Party of Honduras
HND,2007,593,PLH,Liberal Party of Honduras
HND,2008,593,PLH,Liberal Party of Honduras
HND,2009,593,PLH,Liberal Party of Honduras
HND,2010,1416,PNH,National Party of Honduras
HND,2011,1416,PNH,National Party of Honduras
HND,2012,1416,PNH,National Party of Honduras
HND,2013,1416,PNH,National Party of Honduras
HND,2014,1416,PNH,National Party of Honduras
HND,2015,1416,PNH,National Party of Honduras
HND,2016,1416,PNH,National Party of Honduras
HND,2017,1416,PNH,National Party of Honduras
HND,2018,1416,PNH,National Party of Honduras
HND,2019,1416,PNH,National Party of Honduras
HTI,1990,5269,FNCD,National Front for Change and Democracy
HTI,1995,5268,FL,Lavalas Family
HTI,1996,5268,FL,Lavalas Family
HTI,1997,5268,FL,Lavalas Family
HTI,1998,5268,FL,Lavalas Family
HTI,1999,5268,FL,Lavalas Family
HTI,2000,5268,FL,Lavalas Family
HTI,2001,5268,FL,Lavalas Family
HTI,2002,5268,FL,Lavalas Family
HTI,2003,5268,FL,Lavalas Family
HTI,2004,5268,FL,Lavalas Family
HTI,2005,5268,FL,Lavalas Family
HTI,2006,5268,FL,Lavalas Family
HTI,2007,5268,FL,Lavalas Family
HTI,2008,5268,FL,Lavalas Family
HTI,2009,5268,FL,Lavalas Family
HTI,2010,5268,FL,Lavalas Family
HTI,2011,5268,FL,Lavalas Family
HTI,2012,5268,FL,Lavalas Family
HTI,2013,5268,FL,Lavalas Family
HTI,2014,5268,FL,Lavalas Family
HTI,2015,5268,FL,Lavalas Family
JAM,1993,2309,PNP,People's National Party
JAM,1994,2309,PNP,People's National Party
JAM,1995,2309,PNP,People's National Party
JAM,1996,2309,PNP,People's National Party
JAM,1997,2309,PNP,People's National Party
JAM,1998,2309,PNP,People's National Party
JAM,1999,2309,PNP,People's National Party
JAM,2000,2309,PNP,People's National Party
JAM,2001,2309,PNP,People's National Party
JAM,2002,2309,PNP,People's National Party
JAM,2003,2309,PNP,People's National Party
JAM,2004,2309,PNP,People's National Party
JAM,2005,2309,PNP,People's National Party
JAM,2006,2309,PNP,People's National Party
JAM,2007,2309,PNP,People's National Party
JAM,2008,2308,JLP,Jamaica Labour Party
JAM,2009,2308,JLP,Jamaica Labour Party
JAM,2010,2308,JLP,Jamaica Labour Party
JAM,2011,2308,JLP,Jamaica Labour Party
JAM,2012,2309,PNP,People's National Party
JAM,2013,2309,PNP,People's National Party
JAM,2014,2309,PNP,People's National Party
JAM,2015,2309,PNP,People's National Party
JAM,2016,2308,JLP,Jamaica Labour Party
JAM,2017,2308,JLP,Jamaica Labour Party
JAM,2018,2308,JLP,Jamaica Labour Party
JAM,2019,2308,JLP,Jamaica Labour Party
MEX,1991,1474,PRI,Institutional Revolutionary Party
MEX,1992,1474,PRI,Institutional Revolutionary Party
MEX,1993,1474,PRI,Institutional Revolutionary Party
MEX,1994,1474,PRI,Institutional Revolutionary Party
MEX,1995,1474,PRI,Institutional Revolutionary Party
MEX,1996,1474,PRI,Institutional Revolutionary Party
MEX,1997,1474,PRI,Institutional Revolutionary Party
MEX,1998,1474,PRI,Institutional Revolutionary Party
MEX,1999,1474,PRI,Institutional Revolutionary Party
MEX,2000,1474,PRI,Institutional Revolutionary Party
MEX,2001,696,PAN,National Action Party
MEX,2002,696,PAN,National Action Party
MEX,2003,696,PAN,National Action Party
MEX,2004,696,PAN,National Action Party
MEX,2005,696,PAN,National Action Party
MEX,2006,696,PAN,National Action Party
MEX,2007,696,PAN,National Action Party
MEX,2008,696,PAN,National Action Party
MEX,2009,696,PAN,National Action Party
MEX,2010,696,PAN,National Action Party
MEX,2011,696,PAN,National Action Party
MEX,2012,696,PAN,National Action Party
MEX,2013,1474,PRI,Institutional Revolutionary Party
MEX,2014,1474,PRI,Institutional Revolutionary Party
MEX,2015,1474,PRI,Institutional Revolutionary Party
MEX,2016,1474,PRI,Institutional Revolutionary Party
MEX,2017,1474,PRI,Institutional Revolutionary Party
