ISO2,ISO3,YEAR,COUNTRY,REGION,LDC,LLDC,SIDS,POP_R,PARTY_CODE,PARTY_NAME,VDEM_1,VDEM_2,VDEM_3,VDEM_4,VDEM_5,VDEM_6,HERITAGE_1,HERITAGE_2,HERITAGE_3,HERITAGE_4,HERITAGE_5,HERITAGE_6,EFW_1,EFW_2,EFW_3,EFW_4,EFW_5,EFW_6
AR,ARG,2015,Argentina,South America,0,0,0,0.848,FPV-PJ,Front for Victory,38.1,33.89999999999999,25.0,42.6,35.6,29.200000000000003,85.0,47.2,40.4,31.200000000000003,70.0,66.0,39.510695774306996,28.25,0.0,65.02897357885271,44.86350651129233,56.928487300792554
AR,ARG,2016,Argentina,South America,0,0,0,0.1465,PRO,Republican Proposal,31.10000000000001,22.200000000000003,15.700000000000003,36.9,28.1,23.075000000000003,85.0,44.0,56.0,32.599999999999994,70.0,66.0,40.05449591280653,26.700000000000003,0.0,37.23913033504145,42.543365295887114,49.299936422570276
AR,ARG,2017,Argentina,South America,0,0,0,0.145,PRO,Republican Proposal,31.0,24.599999999999994,17.900000000000006,36.9,29.799999999999997,23.075000000000003,67.6,42.7,49.1,33.3,50.0,61.8,36.9209809264305,26.700000000000003,0.0,32.75039027606063,42.260488210708765,48.42904452395916
AR,ARG,2018,Argentina,South America,0,0,0,0.1654999999999999,PRO,Republican Proposal,32.099999999999994,24.5,21.599999999999994,33.4,29.599999999999998,25.325000000000003,59.2,43.8,48.7,29.700000000000003,40.0,67.4,37.3841961852861,26.700000000000003,50.0,26.72071879515579,42.231038405946876,48.96238331840362
AR,ARG,2019,Argentina,South America,0,0,0,0.186,PRO,Republican Proposal,33.5,26.700000000000003,24.700000000000003,38.3,31.7,25.325000000000003,52.2,43.6,39.8,30.0,40.0,66.5,35.068119891008166,27.625,50.0,44.10391025939269,42.231038405946876,51.18460554062583
AR,ARG,2020,Argentina,South America,0,0,0,,FPV-PJ,Front for Victory,31.0,22.799999999999997,24.700000000000003,39.5,30.3,12.5,49.5,39.8,46.3,30.799999999999997,40.0,50.3,51.144414168937324,27.625,50.0,69.49370437125722,42.231038405946876,49.896411096181396
NA,SBW,2000,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2001,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2002,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2003,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2004,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2005,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2006,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2007,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2008,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2009,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2010,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2011,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2012,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2013,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2014,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2015,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2016,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
